Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
revolvermag.com,revolvermag.com,NewBay Media LLC,Art And Entertainment,6188,146592,"ph:+1-212-378-0400;+1-917-281-4704","",twitter.com/revolvermag,facebook.com/revolvermag,,,,,instagram.com/revolvermag,,,youtube.com/user/revolver,"Chris Enriquez - Other - noemail",New York City,NY,10016,US,2011-10-02,2015-12-16,2011-01-03,2015-12-16
24hgold.com,24hgold.com/*,,,34445,44197,"ph:","",,,,,,,,,,,"",,,,,2015-12-26,2015-12-26,2011-01-03,2015-12-27
familysponge.com,familysponge.com,,,44174,536097,"ph:","hello@familysponge.com",,facebook.com/familysponge,,,pinterest.com/familysponge,,,,,youtube.com/user/familysponge,"Jen Hansard: - Founder - noemail",,,,,2012-03-03,2015-12-16,2012-02-04,2015-12-16
lousywriter.com,lousywriter.com,,Technology And Computing,46641,,"ph:","",,,,,,,,,,,"Brian Konradt - Founder - noemail",,,,,2013-10-17,2015-12-10,2011-01-03,2015-12-10
nuwireinvestor.com,marketing2investors.blogs.nuwireinvestor.com,NuWire Inc,Finance,50729,150169,"ph:","editor@nuwireinvestor.com;resources@nuwireinvestor.com;webmaster@nuwireinvestor.com;feedback@nuwireinvestor.com;subscriptions@nuwireinvestor.com",,facebook.com/nuwire,,,,,,,,,"",Bellevue,WA,98005,US,2013-09-15,2015-02-06,2011-01-31,2015-12-16
beaducation.com,blog.beaducation.com,Beaducation Inc.,,52491,183858,"ph:+1-650-261-1870","cs@beaducation.com;info@beaducation.com;fun@beaducation.com;orders@beaducation.com;specialorders@beaducation.com;danelle@beaducation.com;classes@beaducation.com;product@beaducation.com;reviews@beaducation.com;stamps@beaducation.com",twitter.com/beaducation,,,,pinterest.com/beaducation,,instagram.com/beaducation,,,,"Mike Vargo - Other - mike@beaducation.com; Lilly Wong - Other - lilly@beaducation.com; Molly Sweeney - Marketing - molly@beaducation.com; Claudia Navarrete - Director - claudia@beaducation.com; Mel McCabe - Manager - mel@beaducation.com; Paul Kelly - President - paul@beaducation.com; Lisa Kelly - Founder - lisa@beaducation.com",Redwood City,CA,94063,US,2013-02-24,2015-12-26,2011-01-03,2015-12-26
secondchancetodream.com,secondchancetodream.com,,,61092,428518,"ph:","",,,,,,,,,,,"",,,,,2013-06-14,2015-12-16,2012-07-05,2015-12-16
thenervousbreakdown.com,thenervousbreakdown.com,,,71638,597797,"ph:","",,facebook.com/thenervousbreakdown,,,,,,,,,"",Virginia Beach,VA,23456,US,2011-11-06,2015-12-26,2011-01-03,2015-12-26
bakebellissima.com,bakebellissima.com,,Food And Drink,100056,,"ph:","",,,,,pinterest.com/bakebellissima1,,instagram.com/bakebellissima,,,,"",,,,,2014-04-09,2015-12-27,2014-01-11,2015-12-27
ladolcevitablog.com,ladolcevitablog.com,,,136521,356639,"ph:","",twitter.com/ladolcevitablog,,,,pinterest.com/ladolcevitablog,,instagram.com/ladolcevitablog,,,,"Erin Hodges - Founder - noemail",,,,,2014-06-15,2015-12-09,2014-06-15,2015-12-16
languageinternational.com,blog.languageinternational.com,,Travel,136877,320106,"ph:","",,,,,,,,,,,"Jesse Gildesgame - Director - noemail; Karen Ong - Csuite - noemail; Michael Reich - Csuite - noemail",Cambridge,MA,02142,US,2011-12-18,2015-12-10,2011-01-03,2015-12-27
pure2raw.com,pure2raw.com,,,188193,,"ph:","",,,,,,,,,,youtube.com/user/pure2rawtwins,"",,,,,2011-12-18,2015-12-27,2011-11-06,2015-12-27
inkwellpress.com,blog.inkwellpress.com,Inkwell Press,Health And Fitness,216427,164076,"ph:","sharon@inkwellpress.com;speaking@inkwellpress.com;hello@inkwellpress.com",twitter.com/inkwellpress,facebook.com/inkwellpress,,,pinterest.com/inkwellpress,,instagram.com/inkwellpress,,,,"John Dalton - Unknown - john@inkwellpress.com",,,,,2014-11-02,2015-12-10,2013-09-15,2015-12-16
pagedaily.com,pagedaily.com,AskMelissa LLC,Style And Fashion,233286,,"ph:+1-212-410-7888","reportabuse@pagedaily.com;info@pagedaily.com;copyright@pagedaily.com",twitter.com/pagedaily,facebook.com/pagedaily,,,,,,,,,"Michael Meyers - Board - michael@pagedaily.com; Harrison Advisory - Board - harrison@pagedaily.com; Reid Chase - Board - reid@pagedaily.com; Sean Cross - Board - sean@pagedaily.com; Melissa Meyers - Founder - melissa@pagedaily.com",New York City,NY,10128,US,2011-12-04,2015-12-27,2011-01-03,2015-12-27
visualizingeconomics.com,visualizingeconomics.com,,,234187,,"ph:","catherine@visualizingeconomics.com;info@visualizingeconomics.com",twitter.com/visualecon,,,,pinterest.com/visualecon,,,,,,"",San Jose,CA,95116,US,2013-08-15,2015-12-16,2011-01-03,2015-12-16
adventureswithben.com,adventureswithben.com/*,,Travel,249669,,"ph:","",twitter.com/adventureswben,facebook.com/adventureswithben,,,,,,,,youtube.com/user/adventureswithben,"",Barker,NY,14012,US,2014-08-18,2015-12-26,2011-11-06,2015-12-26
monmakesthings.com,monmakesthings.com,,,257586,,"ph:","",,,,,,,,,,,,,,,,2013-03-26,2015-12-10,2013-03-19,2015-12-10
leniel.net,leniel.net,,Technology And Computing,257650,567984,"ph:","",twitter.com/johnleniel,,,google.com/+lenielmacaferi,,github.com/leniel,,,,youtube.com/user/johnleniel,"",,,,,2013-02-19,2015-12-16,2012-05-11,2015-12-16
fashionablyorganized.com,fashionablyorganized.com,,,265995,942323,"ph:+1-323-620-0487","",,facebook.com/fashionablyorganized,,,,,instagram.com/fashionablyorganized,,,,"",,,,,2013-03-26,2015-12-27,2011-09-04,2015-12-27
finestdresscode.com,finestdresscode.com,,Art And Entertainment,380033,,"ph:","info@finestdresscode.com",,,,,,,,,,,"",,,,,2012-09-26,2015-12-10,2012-09-20,2015-12-10
