Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
examiner.com,examiner.com/*,AXS Digital Group,,31,2409,"ph:","legal@examiner.com;letters@examiner.com;lzzuc17lgc@examiner.com;gztmjsamha@examiner.com;afxq5u-hqq@examiner.com;nwpogw570a@examiner.com;nj65lqpjpq@examiner.com;con7d_z9s1@examiner.com;iao7seigqe@examiner.com;j-lgex45ps@examiner.com;hy2iyiktw3@examiner.com;dhuqa3sn_r@examiner.com;avaykogf-m@examiner.com;ghkfppvnnm@examiner.com;ztvljmpm_j@examiner.com;duoybqe9ex@examiner.com;savks37pd6@examiner.com;d2opkpwkho@examiner.com;r_turxdtgl@examiner.com;ajgbaczok4@examiner.com",twitter.com/examinercom,facebook.com/examinercom,linkedin.com/company/examiner.com,google.com/+examinercom,pinterest.com/examinercom,,,,,,"",,,,,2013-02-24,2015-12-10,2011-01-03,2015-12-27
theblaze.com,theblaze.com,TheBlaze Inc ,,56,1354,"ph:+1-916-445-1254;+1-866-776-3698","support@theblaze.com;contact@theblaze.com;feedback@theblaze.com;copyright@theblaze.com",,facebook.com/theblaze,,google.com/+theblaze,,,,,,,"",Irving,TX,75014,US,2013-04-28,2015-12-25,2011-09-04,2015-12-27
chacha.com,chacha.com,Notice ChaCha Search Inc,,118,7802,"ph:+1-317-564-3350","customer.relations@chacha.com;chachaguidebar@chacha.com;user1@chacha.com;guide1@chacha.com;usertom@chacha.com;chachatech@chacha.com;domains@chacha.com;justin.keller@chacha.com;cguide1@chacha.com;human.resources@chacha.com;mitchel02899@chacha.com;thom_geraghty@chacha.com;thom@chacha.com;thom.geraghty@chacha.com;tgeraghty@chacha.com;chris.navta@chacha.com;craig.pfeifer@chacha.com;dan.hodges@chacha.com;saritha.ravi@chacha.com;allison.eckstein@chacha.com",twitter.com/chacha,facebook.com/chacha,,,,,,,,youtube.com/user/channelchacha,"",Carmel,IN,46032,US,2014-07-23,2015-12-27,2011-01-03,2015-12-27
wallstcheatsheet.com,wallstcheatsheet.com,The Cheat Sheet,,164,,"ph:","",,,,,,,,,,,"Glenda Bucy - Manager - noemail; Hunter Lott - Manager - noemail",,,,,2014-07-02,2015-12-27,2011-01-03,2015-12-27
fanboyreport.com,fanboyreport.com,Fanboy Report,Technology And Computing,281,62889,"ph:","",twitter.com/fanboyreport,facebook.com/fanboyreport,,,,,,,,,"",Brentwood,TN,37027,US,2014-10-15,2015-12-27,2014-10-15,2015-12-27
carspoon.com,carspoon.com,carspoon,Automotive And Vehicles,287,50752,"ph:","",twitter.com/carspoononline,facebook.com/carspoon,,,,,,,,,"",Brentwood,TN,37027,US,2014-08-17,2015-12-16,2013-02-28,2015-12-26
traveltune.com,traveltune.com,Travel Tune,Travel,296,81234,"ph:","",twitter.com/traveltune,facebook.com/traveltune,,,,,,,,,"",Brentwood,TN,37027,US,2014-08-13,2015-12-16,2013-09-15,2015-12-26
wably.com,wably.com,,,363,93897,"ph:","",twitter.com/wablyonline,facebook.com/wablyonline,,,,,,,,,"",Brentwood,TN,37027,US,2014-08-13,2015-12-27,2013-09-15,2015-12-27
celebritytune.com,celebritytune.com,celebritytune,Art And Entertainment,394,57680,"ph:","",twitter.com/celebritytune,,,,,,,,,,"",Brentwood,TN,37027,US,2014-08-20,2015-12-16,2014-07-30,2015-12-26
viewmixed.com,viewmixed.com,ViewMixed,,457,43047,"ph:","advertising@viewmixed.com;dmca@viewmixed.com;support@viewmixed.com;info@viewmixed.com",,,,,,,,,,,"",San Diego,CA,92101,US,2013-05-21,2015-12-27,2013-03-14,2015-12-27
