Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
bleacherreport.com,bleacherreport.com/*,Bleacher Report Inc,Sports,29,431,"ph:+1-415-777-5530;+1-252-227-7013","advertise@bleacherreport.com;corrections@bleacherreport.com;partners@bleacherreport.com;messages@bleacherreport.com;dmca@bleacherreport.com",twitter.com/bleacherreport,facebook.com/bleacherreport,,google.com/+bleacherreport,,,instagram.com/bleacherreport,,,,"",San Francisco,CA,94108,US,2014-08-13,2015-12-14,2011-01-03,2015-12-27
nydailynews.com,nydailynews.com,New York Daily News,,44,856,"ph:+1-212-210-6305;+1-855-455-9140","webmaster@nydailynews.com;legal@nydailynews.com;jkemp@nydailynews.com;lgoldberg@nydailynews.com;jlemire@nydailynews.com;eeinhorn@nydailynews.com;ckatz@nydailynews.com;badams@nydailynews.com;epearson@nydailynews.com;rschapiro@nydailynews.com;jmeek@nydailynews.com;csiemaszko@nydailynews.com;lmcshane@nydailynews.com;mmehta@nydailynews.com;rparascandola@nydailynews.com;voicers@nydailynews.com;apps@nydailynews.com;agendar@nydailynews.com;jgonzalez@nydailynews.com;lcolangelo@nydailynews.com",,,,,,,,,,,"Andrew Reale - Bizdev - areale@nydailynews.com",New York City,NY,10004,US,2011-12-18,2015-12-10,2011-01-03,2015-12-27
tmz.com,tmz.com/*,EHM Productions Inc,,65,683,"ph:+1-818-977-0018","liz.mckernan@tmz.com;nicki.fertile@tmz.com;skypetmzlive@tmz.com;mon.@tmz.com;kristin.duffy@tmz.com;pablo88497@tmz.com;nq@tmz.com;patrick@tmz.com;tayme@tmz.com;msfs@tmz.com;cfnbop@tmz.com;kj@tmz.com;hv@tmz.com;bddm@tmz.com;mulunc@tmz.com;eeely@tmz.com;vvpudv@tmz.com;uhsd@tmz.com;dgvhnryt@tmz.com;jessica.grose@tmz.com",,,,,,,,,,,"",Burbank,CA,91522,US,2011-12-18,2015-12-21,2011-01-03,2015-12-27
people.com,people.com,PEOPLE.com,,77,583,"ph:+1-212-467-3320","editor@people.com;webmaster@people.com;insider@people.com;scoop@people.com;espanol@people.com;natasha.mak@people.com;manners@people.com;joanne32327@people.com;seams@people.com;lou@people.com;delany40@people.com;hotmail.com@people.com;dat.blessed@people.com;bus1950@people.com;laurieattendantdelarosa@people.com;reedjackson@people.com;twilight@people.com;heroesamongus@people.com;patvance@people.com;altlou@people.com",twitter.com/people,facebook.com/peoplemag,,,pinterest.com/people,,instagram.com/peoplemag,,,youtube.com/user/people,"",Tampa,FL,33612,US,2014-11-12,2015-12-23,2011-01-03,2015-12-23
eonline.com,eonline.com,E! Entertainment Television LLC,,91,687,"ph:+1-916-445-1254;+1-800-576-5007","askjoan@eonline.com;tedc@eonline.com;tvdiva@eonline.com;redaction@eonline.com;dispatch@eonline.com;television@eonline.com;jeremy@eonline.com;jrg@eonline.com;techjobs@eonline.com;gossip@eonline.com;ryan@eonline.com;jeffm@eonline.com;eentertainmenttelevision@eonline.com;used@eonline.com;lyonsden@eonline.com;samantha@eonline.com;tedcasablanca@eonline.com;candicet@eonline.com;va@eonline.com;rebecca_seed@eonline.com",twitter.com/eonline,facebook.com/eonline,,,,,,,,,"Moises Segovia - Designer - moisess@eonline.com; Jose Leon - Bizdev - josel@eonline.com; Pamela Zapata - Bizdev - pamelaz@eonline.com; Isabelle Mani - Manager - isabellem@eonline.com",New York City,NY,10112,US,2015-06-20,2015-12-21,2011-01-03,2015-12-27
brainfall.com,brainfall.com,BrainFall.com Inc,Art And Entertainment,95,18353,"ph:","partners@brainfall.com;advertising@brainfall.com;media@brainfall.com;feedback@brainfall.com;copyright@brainfall.com",twitter.com/brainfall,facebook.com/brainfall,,,,,,,,,"Josh Palmer - Founder - noemail; Paul Skowronski - Founder - noemail",San Francisco,CA,94105,US,2015-11-04,2015-12-16,2011-01-03,2015-12-16
topix.com,topix.com/*,Topix LLC ,,109,1240,"ph:","feedback2@topix.com;eric@topix.com;recruiter@topix.com;molly@topix.com;lhironaka@topix.com;isting@topix.com;bruce@topix.com;politix@topix.com;miquel9633@topix.com;zipcode@topix.com;steve_rubinstein@topix.com;steve@topix.com;steve.rubinstein@topix.com;srubinstein@topix.com;michael_linton@topix.com;michael@topix.com;michael.linton@topix.com;mlinton@topix.com;cheyenne@topix.com;pxmary@topix.com",,facebook.com/topix,,,,,,,,,"Mike Sawka - President - mike@topix.com; Laurie Hironaka - President - laurie@topix.com; Steve Rubinstein - Csuite - steve@topix.com; Chris Tolles - Founder - chris@topix.com",,,,,2015-02-23,2015-12-27,2011-01-03,2015-12-27
distractify.com,distractify.com,Distractify,,148,1557,"ph:","",twitter.com/distractify,facebook.com/distractify,,,,,,,,,"Matt Orr - Unknown - noemail; Kit Bowen - Unknown - noemail; Laura Cunha - Unknown - noemail",,,,,2015-06-17,2015-12-27,2013-06-14,2015-12-27
wallstcheatsheet.com,wallstcheatsheet.com,The Cheat Sheet,,164,,"ph:","",,,,,,,,,,,"Glenda Bucy - Manager - noemail; Hunter Lott - Manager - noemail",,,,,2014-02-21,2015-12-27,2011-01-03,2015-12-27
dailydot.com,dailydot.com,The Daily Dot,Technology And Computing,179,3522,"ph:+1-512-588-2805","info@thedailydot.com;support@thedailydot.com;copyright@thedailydot.com;dell@dailydot.com;acouts@dailydot.com;rob@dailydot.com;egeller@dailydot.com;sarah@dailydot.com;lindsey@dailydot.com;ndonovan@dailydot.com;nick@dailydot.com;fidel@dailydot.com;dennis@dailydot.com;jfranz@dailydot.com;jay@dailydot.com;michelle@dailydot.com;gaby@dailydot.com;dcopeland@dailydot.com;jordan@dailydot.com;tim@dailydot.com",twitter.com/dailydotmedia,,linkedin.com/company/the-daily-dot,,,,,,,,"Matt Silverman - Bizdev - matt@dailydot.com; Jason Novinger - Software - jason@dailydot.com; Mike Foley - Director - mike@dailydot.com; Brandon Cason - President - brandon@dailydot.com",Austin,TX,78703,US,2012-05-11,2015-12-27,2011-09-11,2015-12-27
ew.com,ew.com,Entertainment Weekly Inc,Art And Entertainment,202,905,"ph:+1-212-467-3320","ew_letters@ew.com;letters@ew.com;ausielloscoop@ew.com;spoilerroom@ew.com;popwatch@ew.com;nuzhat_naoreen@ew.com;annie_barrett@ew.com;beth_jacobson@ew.com;stylehunter@ew.com;asklibby@ew.com;whatisyourdamage@ew.com;theglutton@ew.com;spoileroom@ew.com;u003eausielloscoop@ew.com;darren_franich@ew.com;ausholesunite@ew.com;u003epopwatch@ew.com;chris_nashawaty@ew.com;askthecritic@ew.com;stephanie_robbins@ew.com",,,,,pinterest.com/ewmagazine,,,,,,"",Tampa,FL,33612,US,2013-09-15,2015-12-27,2013-09-15,2015-12-27
sfgate.com,sfgate.com,Hearst Communications Inc,,221,1050,"ph:+1-415-777-7000;+1-800-319-4834","aabney@sfgate.com;waddiego@sfgate.com;sadolphson@sfgate.com;kaguilar@sfgate.com;kalexander@sfgate.com;insidescoopsf@sfgate.com;sfunzipped@sfgate.com;persianality@sfgate.com;citybrights_pgleick@sfgate.com;citybrights_tgladysz@sfgate.com;ederuy@sfgate.com;sgobets@sfgate.com;citybrights_ywilson@sfgate.com;qa@sfgate.com;tonydushane_citybrights@sfgate.com;slopedope@sfgate.com;dzimmerman@sfgate.com;citybrights_fdinkelspiel@sfgate.com;citybrights_jscarlett@sfgate.com;citybrights_mmagowan@sfgate.com",twitter.com/sfgate,facebook.com/sfgate,,,pinterest.com/sfgate,,instagram.com/sfgate,,,,"Johnson Allen - Other - jallen@sfgate.com; May Shannon - Other - mshannon@sfgate.com; Russell George - Other - rgeorge@sfgate.com; Bill Library - Director - blibrary@sfgate.com",New Waterford,OH,44445,US,2013-05-30,2015-12-16,2011-01-03,2015-12-16
popsugar.com,popsugar.com/*,POPSUGAR Inc.,,250,863,"ph:+1-415-684-7494","community@popsugar.com;copyright@popsugar.com;shopstyefr@popsugar.com;redesign@popsugar.com;musthave@popsugar.com;kstahl@popsugar.com;production@popsugar.com;samplesquad@popsugar.com;mliao@popsugar.com;advertising@popsugar.com;housetours@popsugar.com;sydney49595@popsugar.com;internjob@popsugar.com;shopsense@popsugar.com;cng@popsugar.com;popmomsjob@popsugar.com;kjohnson@popsugar.com;efr@popsugar.com;mmullarkey@popsugar.com;lmilner@popsugar.com",twitter.com/popsugar,facebook.com/popsugar,,google.com/+popsugar,pinterest.com/popsugar,,instagram.com/popsugar,,,,"Eileen Carty - President - ecarty@popsugar.com; Melissa Davis - President - mdavis@popsugar.com; David Grant - President - dgrant@popsugar.com; Anna Fieler - President - afieler@popsugar.com; Genevieve Kunst - President - gkunst@popsugar.com; Alex McNealey - President - amcnealey@popsugar.com; Sean Macnew - Csuite - smacnew@popsugar.com; Lisa Sugar - Founder - lsugar@popsugar.com; Brian Sugar - Founder - bsugar@popsugar.com; Arthur Cinader - Founder - acinader@popsugar.com",San Francisco,CA,94104,US,2014-11-09,2015-12-10,2011-01-03,2015-12-26
hellogiggles.com,hellogiggles.com,HelloGiggles.com Inc,Art And Entertainment,273,3051,"ph:+1-949-224-1810;+1-800-778-7879","pitches@hellogiggles.com;legal@hellogiggles.com;jennifer@hellogiggles.com;wwtdg@hellogiggles.com;toriqua@hellogiggles.com;molls@hellogiggles.com;fo@hellogiggles.com;teen@hellogiggles.com;tatti@hellogiggles.com;ainfo@hellogiggles.com;prom@hellogiggles.com;advertise@hellogiggles.com",twitter.com/hellogiggles,facebook.com/hellogiggles,,,pinterest.com/hellogiggles,,instagram.com/hellogiggles,,,,"",Los Angeles,CA,90027,US,2015-08-19,2015-12-27,2011-09-04,2015-12-27
fanboyreport.com,fanboyreport.com,Fanboy Report,Technology And Computing,281,62889,"ph:","",twitter.com/fanboyreport,facebook.com/fanboyreport,,,,,,,,,"",Brentwood,TN,37027,US,2015-03-10,2015-12-27,2014-10-15,2015-12-27
