Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
teapartyupdate.com,teapartyupdate.com,teapartyupdate,,4460,293199,"ph:","contact@teapartyupdate.com",,facebook.com/teapartyupdate,,,,,,,,,"",Valley Cottage,NY,10989,US,2015-03-16,2015-12-16,2014-05-14,2015-12-16
investorinsider.net,investorinsider.net,investorinsider,Business And Industrial,7943,,"ph:","",,,,,,,,,,,"",Woodbury,NY,11797,US,2015-03-16,2015-12-26,2014-09-17,2015-12-26
prowrestling.net,prowrestling.net,LAST ROW MEDIA LLC,Technology And Computing,29704,120594,"ph:","",twitter.com/prowrestlingnet,facebook.com/prowrestlingnet,,,,,,,,,"",,,,,2015-03-16,2015-12-16,2011-01-03,2015-12-16
manteresting.com,manteresting.com,MANteresting,,44518,104445,"ph:+1-502-419-6755","advertise@manteresting.com;nailedit@manteresting.com;legal@manteresting.com;pr@manteresting.com;contact@manteresting.com",twitter.com/manteresting,facebook.com/manteresting,,,pinterest.com/manterestingxy,,,,,,"",Garden Grove,CA,92846,US,2015-03-25,2015-12-10,2012-02-04,2015-12-26
stevedeace.com,stevedeace.com,Steve Deace,Art And Entertainment,48917,445463,"ph:","steve@stevedeace.com",twitter.com/stevedeaceshow,facebook.com/stevedeace,,,,,,,,,"",,,,,2015-03-16,2015-12-16,2011-09-04,2015-12-26
americanspotlight.com,americanspotlight.com,,Law  Govt And Politics,,720607,"ph:","",,,,,,,,,,,"",Valley Cottage,NY,10989,US,2015-04-22,2015-12-16,2015-04-22,2015-12-16
bestsnewsfeeds.com,bestsnewsfeeds.com,,,,,"ph:","",,,,,,,,,,,,,,,,2015-03-24,2015-12-10,2014-12-01,2015-12-10
celebrityomg.com,celebrityomg.com,,,,,"ph:","",,,,,,,,,,,"",,,,,2015-03-16,2015-12-10,2014-11-03,2015-12-10
chongpoung.com,chongpoung.com,,,,,"ph:","",,,,,,,,,,,,,,,,2015-03-24,2015-12-10,2015-01-25,2015-12-10
currentaffair.com,currentaffair.com,,,,412000,"ph:+1-800-296-7104","copyright@currentaffair.com",twitter.com/currentaffair1,,,,pinterest.com/francescacurren,,,,,,"",Burbank,CA,91506,US,2015-03-16,2015-12-16,2013-09-15,2015-12-16
failage.com,failage.com,,,,,"ph:","",,,,,,,,,,,,,,,,2015-04-20,2015-12-10,2013-02-28,2015-12-10
fromtheright.com,fromtheright.com,,Law  Govt And Politics,,446737,"ph:","",,,,,,,,,,,"",Las Vegas,NV,89107,US,2015-03-24,2015-12-16,2014-01-11,2015-12-16
gag.buzz,gag.buzz,,,,959636,"ph:","",,,,,,,,,,,"",,,,,2015-04-22,2015-12-16,2014-08-31,2015-12-16
galleryforalls.com,galleryforalls.com,,,,,"ph:","",,,,,,,,,,,,,,,,2015-11-10,2015-12-10,2015-11-10,2015-12-10
healthylifestylenetwork.com,healthylifestylenetwork.com,,,,,"ph:","",,,,,,,,,,,,,,,,2015-06-20,2015-12-10,2015-06-20,2015-12-10
hispolitica.com,hispolitica.com,HISPOLITICA,Law  Govt And Politics,,,"ph:","",twitter.com/hispolitica,,,,,,,,,,"",,,,,2015-06-10,2015-12-16,2015-06-10,2015-12-16
hit.buzz,hit.buzz,,,,,"ph:","",,,,,,,,,,,,,,,,2015-04-22,2015-12-10,2014-08-31,2015-12-10
johnbiver.com,johnbiver.com/*,,,,,"ph:","",,,,,,,,,,,,,,,,2015-03-31,2015-12-26,2012-12-06,2015-12-26
rightwise.com,rightwise.com,,,,740807,"ph:","",,,,,,,,,,,,,,,,2015-03-24,2015-12-16,2013-09-15,2015-12-16
