Domain,Location on Site,Company,Vertical,Quantcast,Alexa,Telephones,Emails,Twitter,Facebook,LinkedIn,Google,Pinterest,GitHub,Instagram,Vk,Vimeo,Youtube,People,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed
examiner.com,examiner.com,AXS Digital Group,,31,2409,"ph:","legal@examiner.com;letters@examiner.com;lzzuc17lgc@examiner.com;gztmjsamha@examiner.com;afxq5u-hqq@examiner.com;nwpogw570a@examiner.com;nj65lqpjpq@examiner.com;con7d_z9s1@examiner.com;iao7seigqe@examiner.com;j-lgex45ps@examiner.com;hy2iyiktw3@examiner.com;dhuqa3sn_r@examiner.com;avaykogf-m@examiner.com;ghkfppvnnm@examiner.com;ztvljmpm_j@examiner.com;duoybqe9ex@examiner.com;savks37pd6@examiner.com;d2opkpwkho@examiner.com;r_turxdtgl@examiner.com;ajgbaczok4@examiner.com",twitter.com/examinercom,facebook.com/examinercom,linkedin.com/company/examiner.com,google.com/+examinercom,pinterest.com/examinercom,,,,,,"",,,,,2013-02-24,2015-12-27,2011-01-03,2015-12-27
nbcnews.com,nbcnews.com,NBCUniversal Inc,,45,512,"ph:+1-212-413-6142;+1-916-445-1254","adsales@nbcnews.com;app.feedback@nbcnews.com;appfeedback@nbcnews.com;news@nbcnews.com;phil.griffin@nbcnews.com;steve.capus@nbcnews.com;nightly@nbcnews.com;nightlynews@nbcnews.com;mtp@nbcnews.com;zmmiller@nbcnews.com;video@nbcnews.com",twitter.com/nbcnews,facebook.com/nbcnews,,google.com/+nbcnews,,,,,,,"Maury Dent - Unknown - maury.dent@nbcnews.com; Michael Galluppo - Unknown - michael.galluppo@nbcnews.com; Amy Power - Unknown - amy.power@nbcnews.com; Eric Johns - Unknown - eric.johns@nbcnews.com; Catie Liken - Unknown - catie.liken@nbcnews.com; Daniel Sircar - Unknown - daniel.sircar@nbcnews.com; Damian Geminder - Unknown - damian.geminder@nbcnews.com; Sheila Koochak - Unknown - sheila.koochak@nbcnews.com; Andi Priftani - Unknown - andi.priftani@nbcnews.com; Sharon Allen - Unknown - sharon.allen@nbcnews.com",New York City,NY,10112,US,2015-02-17,2015-12-26,2011-01-03,2015-12-26
theblaze.com,theblaze.com,TheBlaze Inc ,,56,1354,"ph:+1-916-445-1254;+1-866-776-3698","support@theblaze.com;contact@theblaze.com;feedback@theblaze.com;copyright@theblaze.com",,facebook.com/theblaze,,google.com/+theblaze,,,,,,,"",Irving,TX,75014,US,2012-02-04,2015-12-25,2011-09-04,2015-12-27
tmz.com,tmz.com,EHM Productions Inc,,65,683,"ph:+1-818-977-0018","liz.mckernan@tmz.com;nicki.fertile@tmz.com;skypetmzlive@tmz.com;mon.@tmz.com;kristin.duffy@tmz.com;pablo88497@tmz.com;nq@tmz.com;patrick@tmz.com;tayme@tmz.com;msfs@tmz.com;cfnbop@tmz.com;kj@tmz.com;hv@tmz.com;bddm@tmz.com;mulunc@tmz.com;eeely@tmz.com;vvpudv@tmz.com;uhsd@tmz.com;dgvhnryt@tmz.com;jessica.grose@tmz.com",,,,,,,,,,,"",Burbank,CA,91522,US,2013-03-26,2015-12-27,2011-01-03,2015-12-27
ibtimes.com,ibtimes.com,International Business Times,,74,1937,"ph:","m.florcruz@ibtimes.com;c.dunn@ibtimes.com;e.banco@ibtimes.com;b.lee@ibtimes.com;b.forman@ibtimes.com;a.kashyap@ibtimes.com;d.sirota@ibtimes.com;m.kreiter@ibtimes.com;a.huffman@ibtimes.com;a.pandey@ibtimes.com;j.emspak@ibtimes.com;j.stone@ibtimes.com;sport-it@ibtimes.com;j.mcgrath@ibtimes.com;g.perna@ibtimes.com;c.zara@ibtimes.com;m.gallucci@ibtimes.com;c.harress@ibtimes.com;r.schumann@ibtimes.com;g.morcroft@ibtimes.com",,,,,,,,,,,"Marc Vargas - Unknown - m.vargas@ibtimes.com; Sabine Schwab - Unknown - s.schwab@ibtimes.com; Michelle FlorCruz - Unknown - m.florcruz@ibtimes.com; Arlene Paredes - Unknown - a.paredes@ibtimes.com; Amit Malaviya - Unknown - a.malaviya@ibtimes.com; Nick Howson - Unknown - n.howson@ibtimes.com; Tarun Mazumdar - Unknown - t.mazumdar@ibtimes.com; Vikas Devnani - Unknown - v.devnani@ibtimes.com; Elsa Buchanan - Unknown - e.buchanan@ibtimes.com; Ben Skipper - Unknown - b.skipper@ibtimes.com",,,,,2014-08-06,2015-12-10,2011-01-03,2015-12-16
moviepilot.com,images-cdn.moviepilot.com,Moviepilot Inc.,Art And Entertainment,82,1801,"ph:","trailer@moviepilot.com;mark@moviepilot.com;kat@moviepilot.com;sabina@moviepilot.com;aaron@moviepilot.com;artem@moviepilot.com;colin.guillaume@moviepilot.com;conor@moviepilot.com;yourfriends@moviepilot.com;presse@moviepilot.com;tv@moviepilot.com;jan@moviepilot.com;isabel@moviepilot.com;rochus@moviepilot.com;benjamin@moviepilot.com;hannah@moviepilot.com;jannis@moviepilot.com;dmca@moviepilot.com;jazmina@moviepilot.com;ben@moviepilot.com",twitter.com/moviepilotnews,facebook.com/moviepilotdotcom,,google.com/+moviepilotnews,pinterest.com/moviepilot,,instagram.com/moviepilot,,,youtube.com/user/moviepilottraileren,"Magnus Jonsson - Designer - magnus@moviepilot.com",,,,,2015-12-26,2015-12-26,2011-01-03,2015-12-27
inquisitr.com,inquisitr.com,The Inquisitr News,,84,2763,"ph:","editor@inquisitr.com;advertise@inquisitr.com;tips@inquisitr.com;legal@inquisitr.com;technical@inquisitr.com;megancharles@inquisitr.com;tayla@inquisitr.com;james@inquisitr.com;nathan@inquisitr.com;dusten@inquisitr.com;patrick@inquisitr.com;david@inquisitr.com;bernadette@inquisitr.com;todd@inquisitr.com;gregory@inquisitr.com;danielm@inquisitr.com;niki@inquisitr.com;daniel@inquisitr.com;la@inquisitr.com;ames@inquisitr.com",twitter.com/theinquisitr,facebook.com/theinquisitr,,google.com/+inquisitr,,,,,,,"Patricia Grannum - Unknown - patricia@inquisitr.com; Jovianne Figueroa - Unknown - jovianne@inquisitr.com; Kevin Carneglia - Unknown - kevin@inquisitr.com; Don Crothers - Unknown - don@inquisitr.com; Sarah Russell - Unknown - sarah@inquisitr.com",,,,,2013-02-24,2015-12-27,2011-01-03,2015-12-27
emgn.com,emgn.com,Hole in One Holdings Limited,Art And Entertainment,90,1148,"ph:","info@emgn.com;sales@emgn.com",twitter.com/emgn_dotcom,facebook.com/emgndotcom,,,,,,,,,"",,,,,2014-05-21,2015-12-16,2011-11-06,2015-12-16
nbcsports.com,collegefootballtalk.nbcsports.com;irish.nbcsports.com;profootballtalk.nbcsports.com;sports.nbcsports.com,NBC Sports,Sports,104,991,"ph:","nkeitharnold@nbcsports.com;keitharnold@nbcsports.com;tourhelp@nbcsports.com;liveextra@nbcsports.com;tom.curran@nbcsports.com;fivespot@nbcsports.com;mmafightweekly@nbcsports.com;golfonnbc@nbcsports.com",,,,,,,,,,,"Megan Condon - Designer - megan.condon@nbcsports.com; Bailey Garrett - Designer - bailey.garrett@nbcsports.com; Peter Damilatis - Bizdev - peter.damilatis@nbcsports.com; Lori Reitmeyer - Director - lori.reitmeyer@nbcsports.com",Stamford,CT,06901,US,2014-09-11,2015-12-10,2011-01-03,2015-12-27
topix.com,topix.com/*,Topix LLC ,,109,1240,"ph:","feedback2@topix.com;eric@topix.com;recruiter@topix.com;molly@topix.com;lhironaka@topix.com;isting@topix.com;bruce@topix.com;politix@topix.com;miquel9633@topix.com;zipcode@topix.com;steve_rubinstein@topix.com;steve@topix.com;steve.rubinstein@topix.com;srubinstein@topix.com;michael_linton@topix.com;michael@topix.com;michael.linton@topix.com;mlinton@topix.com;cheyenne@topix.com;pxmary@topix.com",,facebook.com/topix,,,,,,,,,"Mike Sawka - President - mike@topix.com; Laurie Hironaka - President - laurie@topix.com; Steve Rubinstein - Csuite - steve@topix.com; Chris Tolles - Founder - chris@topix.com",,,,,2015-03-10,2015-12-27,2011-01-03,2015-12-27
